NomeUC;Cnuc;CriacaoAno;AreaHaAlb;PerimM;CriacaoAto;EsferaAdm;SiglaCateg;GrupoUC;UFAbrang;BiomaIBGE;BiomaCRL;GRegional;FusoAbrang;Demarcacao;EscalaUC;NGI
RESERVA EXTRATIVISTA DO MANDIRA;0000.00.0234;2002;1177,81099791031;35995,1548;DEC S/N, de 13/12/2002;Federal;RESEX;US;SP;MATA ATLÂNTICA;MATA ATLÂNTICA;GR4;22S;Dado não disponível;Dado não disponível;ICMBio Iguape
RESERVA EXTRATIVISTA DO MÉDIO JURUÁ;0000.00.0235;1997;286954,80688403800;388643,2203;"DEC S/N, de 04/03/1997 ; DEC S/N, de 13/10/2014";Federal;RESEX;US;AM;AMAZÔNIA;AMAZÔNIA;GR1;19S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA DO MÉDIO PURÁS;0000.00.1606;2008;600555,10304144000;1189793,2542;DEC S/N, de 08/05/2008;Federal;RESEX;US;AM;AMAZÔNIA;AMAZÔNIA;GR1;19S e 20S;Dado não disponível;Dado não disponível;ICMBio Lábrea
RESERVA EXTRATIVISTA DO QUILOMBO FLEXAL;0000.00.1520;1992;9338,45122600393;45292,6636;DEC 536, de 20/05/1992;Federal;RESEX;US;MA;AMAZÔNIA;AMAZÔNIA;GR1;23S;Dado não disponível;Dado não disponível;ICMBio São Luís
RESERVA EXTRATIVISTA DO RIO CAJARI;0000.00.1518;1990;532404,51054227200;366856,5976;DEC 99.145, de 12/03/1990;Federal;RESEX;US;AP;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA DO RIO DO CAUTÁRIO;0000.00.0238;2001;75125,49618065470;209077,8309;DEC S/N, de 07/08/2001;Federal;RESEX;US;RO;AMAZÔNIA;AMAZÔNIA;GR1;20S;Dado não disponível;Dado não disponível;ICMBio Cautário-Guaporé
RESERVA EXTRATIVISTA DO RIO JUTAÍ;0000.00.0239;2002;275515,82333383600;421755,3804;DEC S/N, de 16/07/2002;Federal;RESEX;US;AM;AMAZÔNIA;AMAZÔNIA;GR1;19S;Dado não disponível;Dado não disponível;ICMBio Tefé
RESERVA EXTRATIVISTA DO RIO OURO PRETO;0000.00.0256;1990;204632,81229347000;425683,8787;DEC 99.166, de 13/03/1990;Federal;RESEX;US;RO;AMAZÔNIA;AMAZÔNIA;GR1;20S;Dado não disponível;Dado não disponível;ICMBio Guajará-Mirim
RESERVA EXTRATIVISTA GURUPÁ-MELGAÇO;0000.00.0288;2006;145574,10829754000;223289,7813;DEC S/N, de 30/11/2006;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA IPAÁ-ANILZINHO;0000.00.0241;2005;55835,01212811200;117174,2583;DEC S/N, de 14/06/2005;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA ITAPETININGA;0000.00.3651;2018;16294,17443232870;90360,2419;DEC 9.333 de 05/04/2018;Federal;RESEX;US;MA;MARINHO COSTEIRO;MARINHO COSTEIRO;GR1;23S;Dado não disponível;Dado não disponível;ICMBio São Luís
RESERVA EXTRATIVISTA ITUXÍ;0000.00.1628;2008;777387,02199000700;790956,0129;DEC S/N, de 05/06/2008;Federal;RESEX;US;AM;AMAZÔNIA;AMAZÔNIA;GR1;20S;Dado não disponível;Dado não disponível;ICMBio Lábrea
RESERVA EXTRATIVISTA LAGO DO CEDRO;0000.00.0287;2006;17178,05066374520;75362,9377;DEC S/N,de 11/09/2006;Federal;RESEX;US;GO;CERRADO;CERRADO;GR3;22S;Dado não disponível;Dado não disponível;ICMBio Meandros do Araguaia
RESERVA EXTRATIVISTA MÃE GRANDE DE CURUÇÁ;0000.00.0243;2002;36678,78096782590;437571,1966;DEC S/N, de 13/12/2002;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;23S;Dado não disponível;Dado não disponível;ICMBio Salgado Paraense
RESERVA EXTRATIVISTA MAPUÁ;0000.00.0244;2005;93747,66074113260;233152,6733;DEC S/N, de 20/05/2005;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;ICMBio Breves
RESERVA EXTRATIVISTA MARACANÃ;0000.00.0227;2002;30179,64519419740;577110,4546;DEC S/N, de 13/12/2002;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;23S;Dado não disponível;Dado não disponível;ICMBio Salgado Paraense
RESERVA EXTRATIVISTA MARINHA CUINARANA;0000.00.3134;2014;11036,41093413150;214757,2768;DEC S/N, de 10/10/2014;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;23S;Dado não disponível;Dado não disponível;ICMBio Salgado Paraense
RESERVA EXTRATIVISTA MARINHA DA BAIA DO IGUAPE;0000.00.0245;2000;10082,59099370590;164782,7687;"DEC S/N, de 11/08/2000; LEI 12.058, de 13/10/2009";Federal;RESEX;US;BA;MATA ATLÂNTICA;MATA ATLÂNTICA e MARINHO COSTEIRO;GR2;24S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ;0000.00.0246;2001;10196,69349850820;115768,0083;DEC S/N, de 27/09/2001;Federal;RESEX;US;AL;MATA ATLÂNTICA;MATA ATLÂNTICA;GR2;25S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA MARINHA DE ARAÍ-PEROBA;0000.00.0247;2005;62578,11556832230;231958,9646;"DEC S/N, de 20/05/2005; DEC S/N, de 10/10/2014";Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA e MARINHO COSTEIRO;GR1;23S;Dado não disponível;Dado não disponível;ICMBio Bragança
RESERVA EXTRATIVISTA MARINHA DE CAETÉ-TAPERAÇU;0000.00.0248;2005;42489,80626553610;164683,3839;DEC S/N, de 20/05/2005;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;23S;Dado não disponível;Dado não disponível;ICMBio Bragança
RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ;0000.00.0249;2005;72789,92842190050;328031,8873;DEC S/N, de 20/05/2005;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;23S;Dado não disponível;Dado não disponível;ICMBio Bragança
RESERVA EXTRATIVISTA MARINHA DE SOURE;0000.00.0254;2001;29578,79586918560;283551,9933;DEC de 22/11/2001;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA MARINHA DE TRACUATEUA;0000.00.0250;2005;27864,50156477650;145105,5346;DEC S/N, de 20/05/2005;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;23S;Dado não disponível;Dado não disponível;ICMBio Bragança
RESERVA EXTRATIVISTA MARINHA DO ARRAIAL DO CABO;0000.00.0251;1997;51890,52572214960;51890,5257;DEC S/N, de 03/01/1997;Federal;RESEX;US;RJ;MATA ATLÂNTICA;MATA ATLÂNTICA;GR4;23S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA MARINHA DO CORUMBAU;0000.00.0252;2000;89996,76245335960;181734,9950;DEC S/N, de 21/09/2000;Federal;RESEX;US;BA;MARINHO COSTEIRO;MARINHO COSTEIRO;GR2;24S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAÍBA;0000.00.0225;2000;27022,07341927270;105065,1399;DEC S/N, de 16/11/2000;Federal;RESEX;US;MA/PI;CERRADO;CERRADO e MARINHO COSTEIRO;GR2;24S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA MARINHA DO PIRAJUBAÉ;0000.00.0255;1992;1686,86614272498;27378,0190;DEC 533, de 20/05/1992;Federal;RESEX;US;SC;MATA ATLÂNTICA;MATA ATLÂNTICA e MARINHO COSTEIRO;GR5;22S;Dado não disponível;Dado não disponível;ICMBio Florianópolis
RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO;0000.00.3133;2014;26464,87854464900;314548,5737;DEC S/N, de 10/10/2014;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA e MARINHO COSTEIRO;GR1;23S;Dado não disponível;Dado não disponível;ICMBio Salgado Paraense
RESERVA EXTRATIVISTA MARINHA MOCAPAJUBA;0000.00.3132;2014;21027,79668748580;173445,6067;DEC S/N, de 10/10/2014;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S e 23S;Dado não disponível;Dado não disponível;ICMBio Salgado Paraense
RESERVA EXTRATIVISTA MATA GRANDE;0000.00.0226;1992;11431,66164410940;58521,6192;DEC 532, de 20/05/1992;Federal;RESEX;US;MA;CERRADO;AMAZÔNIA Port 96 MMA;GR2;23S;Dado não disponível;Dado não disponível;ICMBio Imperatriz
RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE;0000.00.1809;2009;29805,48193665720;82389,1574;DEC S/N, de 05/06/2009;Federal;RESEX;US;CE;MARINHO COSTEIRO;MARINHO COSTEIRO;GR2;24S;Dado não disponível;Dado não disponível;ICMBio Batoque-Prainha
RESERVA EXTRATIVISTA RENASCER;0000.00.1810;2009;209667,37373733200;234967,8108;DEC S/N, de 05/06/2009;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA RIO IRIRI;0000.00.0280;2006;398997,61222639700;544761,2777;DEC S/N, de 05/06/2006;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;21S e 22S;Dado não disponível;Dado não disponível;ICMBio Terra do Meio
RESERVA EXTRATIVISTA RIO UNINI;0000.00.0283;2006;849693,34987245600;1232454,6717;"DEC S/N, de 21/06/2006 
";Federal;RESEX;US;AM;AMAZÔNIA;AMAZÔNIA;GR1;20S;Dado não disponível;Dado não disponível;ICMBio Novo Airão
RESERVA EXTRATIVISTA RIO XINGU;0000.00.1635;2008;303004,70347454500;374683,4491;DEC S/N, de 05/06/2008;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;ICMBio Terra do Meio
RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE;0000.00.0257;2005;324905,93240116200;399033,2311;DEC S/N, de 17/02/2005;Federal;RESEX;US;AC/AM;AMAZÔNIA;AMAZÔNIA;GR1;18S;Dado não disponível;Dado não disponível;ICMBio Cruzeiro do Sul
RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO;0000.00.0258;2004;737088,86799158200;493043,5240;DEC S/N, de 08/11/2004;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;21S;Dado não disponível;Dado não disponível;ICMBio Terra do Meio
RESERVA EXTRATIVISTA TAPAJÓS-ARAPIUNS;0000.00.0259;1998;677521,47362785500;600011,4590;DEC S/N, de 06/11/1998;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;21S;Dado não disponível;Dado não disponível;Não nucleada
RESERVA EXTRATIVISTA TERRA GRANDE-PRACUÁBA;0000.00.0282;2006;194870,37744668600;272814,3403;DEC S/N, de 05/06/2006;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;ICMBio Breves
RESERVA EXTRATIVISTA VERDE PARA SEMPRE;0000.00.0260;2004;1289379,74243020000;559114,3967;DEC S/N, de 08/11/2004;Federal;RESEX;US;PA;AMAZÔNIA;AMAZÔNIA;GR1;22S;Dado não disponível;Dado não disponível;Não nucleada
