Reino;Filo;Classe;Ordem;Família;Gênero;Nome Científico;Autor;Nome Comum;Grupo;Categoria;Consta em Lista Nacional Oficial;Estado;Região;Bioma;Bacia Hidrográfica;Unidade de Conservação Federal;Unidade de Conservação Estadual;RPPN
Animalia;Chordata;Actinopterygii;Characiformes;Parodontidae;Apareiodon;Apareiodon davisi;Fowler, 1941;Peixe-rei;Peixes Continentais;Em Perigo;Sim;Ceará, Paraíba, Pernambuco, Rio Grande do Norte;Nordeste;Caatinga, Mata Atlântica;"Sub-bacia Jaguaribe
Sub-bacia Litoral CE PB
Sub-bacia Paraíba
Sub-bacia São Francisco Baixo";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Myleus;Myloplus tiete;(Eigenmann & Norris, 1900);Pacu-prata;Peixes Continentais;Em Perigo;Sim;Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, São Paulo;Centro-Oeste, Sudeste, Sul;Cerrado, Mata Atlântica;"Sub-bacia Grande
Sub-bacia Paranaíba
Sub-bacia Paraná RH1
Sub-bacia São Francisco Médio";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Brycon;Brycon devillei;(Castelnau, 1855);Piabinha;Peixes Continentais;Em Perigo;Sim;Bahia, Minas Gerais;Nordeste, Sudeste;Cerrado, Mata Atlântica;"Sub-bacia Doce
Sub-bacia  Jequitinhonha";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Bryconamericus;Bryconamericus lambari;Malabarba & Kindel, 1995;Lambari;Peixes Continentais;Em Perigo;Sim;Rio Grande do Sul;Sul;Mata Atlântica;Sub-bacia Guaíba;;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Diapoma;Diapoma pyrrhopteryx;Menezes & Weitzman, 2011;Lambari;Peixes Continentais;Em Perigo;Sim;Rio Grande do Sul, Santa Catarina;Sul;Mata Atlântica, Pampa;"Sub-bacia Uruguai Alto
Sub-bacia Uruguai Médio";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Henochilus;Henochilus wheatlandii;Garman, 1890;Andirá;Peixes Continentais;Criticamente em Perigo;Sim;Minas Gerais;Sudeste;Mata Atlântica;Sub-bacia Doce;;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Hollandichthys;Hollandichthys taramandahy;Bertaco & Malabarba, 2013;Lambari-listrado;Peixes Continentais;Em Perigo;Sim;Rio Grande do Sul, Santa Catarina;Sul;Mata Atlântica;"Sub-bacia Litoral RS
Sub-bacia Litoral SP PR SC";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Rachoviscus;Rachoviscus crassiceps;Myers, 1926;Lambari-da-restinga;Peixes Continentais;Em Perigo;Sim;Paraná, Santa Catarina, São Paulo;Sudeste, Sul;Mata Atlântica;"Sub-bacia Litoral SP
Sub-bacia Litoral SP PR SC";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Spintherobolus;Spintherobolus leptoura;Weitzman & Malabarba, 1999;Lambari;Peixes Continentais;Em Perigo;Sim;Paraná, São Paulo;Sudeste, Sul;Mata Atlântica;"Sub-bacia Litoral RJ SP
Sub-bacia Litoral SP PR SC";;;
Animalia;Chordata;Actinopterygii;Characiformes;Characidae;Stygichthys;Stygichthys typhlops;Brittan & Böhlke, 1965;Piaba-branca;Peixes Continentais;Em Perigo;Sim;Minas Gerais;Sudeste;Caatinga, Cerrado;Sub-bacia São Francisco Médio;;;
Animalia;Chordata;Actinopterygii;Characiformes;Crenuchidae;Characidium;Characidium vestigipinne;Buckup & Hahn, 2000;;Peixes Continentais;Criticamente em Perigo;Sim;Rio Grande do Sul;Sul;Mata Atlântica;Sub-bacia Uruguai Alto;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Doradidae;Kalyptodoras;Kalyptodoras bahiensis;Higuchi, Britski & Garavello, 1990;Peracuca;Peixes Continentais;Em Perigo;Sim;Bahia;Nordeste;Caatinga, Mata Atlântica;Sub-bacia Itapecuru-Paraguaçu;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Pimelodidae;Steindachneridion;Steindachneridion amblyurum;(Eigenmann & Eigenmann, 1888);Surubim-do-jequitinhonha;Peixes Continentais;Criticamente em Perigo;Sim;Minas Gerais;Sudeste;Cerrado, Mata Atlântica;Sub-bacia  Jequitinhonha;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Pimelodidae;Steindachneridion;Steindachneridion doceanum;(Eigenmann & Eigenmann, 1889);Surubim-do-doce;Peixes Continentais;Criticamente em Perigo;Sim;Minas Gerais;Sudeste;Mata Atlântica;Sub-bacia Doce;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Pimelodidae;Steindachneridion;Steindachneridion scriptum;(Miranda Ribeiro, 1918);Surubim;Peixes Continentais;Em Perigo;Sim;Goiás, Minas Gerais, Paraná, Rio Grande do Sul, Santa Catarina, São Paulo;Centro-Oeste, Sudeste, Sul;Cerrado, Mata Atlântica;"Sub-bacia Grande
Sub-bacia Paranaíba
Sub-bacia Paranapanema
Sub-bacia Uruguai Alto
Sub-bacia Uruguai Médio";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Heptapteridae;Rhamdia;Rhamdia jequitinhonha;Silfvergrip, 1996;Mandi;Peixes Continentais;Vulnerável;Sim;Bahia, Minas Gerais;Nordeste, Sudeste;Cerrado, Mata Atlântica;"Sub-bacia Contas
Sub-bacia Itapecuru-Paraguaçu
Sub-bacia  Jequitinhonha";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Heptapteridae;Rhamdiopsis;Rhamdiopsis krugi;Bockmann & Castro, 2010;Bagrinho-cego;Peixes Continentais;Vulnerável;Sim;Bahia;Nordeste;Caatinga;Sub-bacia Itapecuru-Paraguaçu;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Glaphyropoma;Glaphyropoma spinosum;Bichuette, de Pinna & Trajano, 2008;Bagrinho-de-caverna;Peixes Continentais;Vulnerável;Sim;Bahia;Nordeste;Caatinga;Sub-bacia Itapecuru-Paraguaçu;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis cahyensis;Sarmento-Soares, Martins-Pinheiro, Aranda & Chamon, 2006;;Peixes Continentais;Em Perigo;Sim;Bahia, Espírito Santo;Nordeste, Sudeste;Mata Atlântica;"Sub-bacia Doce
Sub-bacia Litoral BA ES";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis epikarsticus;Bichuette & Trajano, 2004;Bagrinho-de-caverna;Peixes Continentais;Vulnerável;Sim;Goiás;Centro-Oeste;Cerrado;Sub-bacia Tocantins Alto;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis passensis;Fernandez & Bichuette, 2002;Bagrinho-de-caverna;Peixes Continentais;Vulnerável;Sim;Goiás;Centro-Oeste;Cerrado;Sub-bacia Tocantins Alto;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Listrura;Listrura camposi;(Miranda Ribeiro, 1957);Cambeva-minhoca-do-ribeira;Peixes Continentais;Criticamente em Perigo;Sim;São Paulo;Sudeste;Mata Atlântica;"Sub-bacia Litoral RJ SP
Sub-bacia Litoral SP";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Listrura;Listrura nematopteryx;de Pinna, 1988;;Peixes Continentais;Criticamente em Perigo;Sim;Rio de Janeiro;Sudeste;Mata Atlântica;Sub-bacia Litoral RJ;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Microcambeva;Microcambeva draco;Matos & Lima, 2010;;Peixes Continentais;Em Perigo;Sim;Bahia;Nordeste;Mata Atlântica;Sub-bacia Litoral BA ES;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Trichogenes;Trichogenes claviger;de Pinna, Helmer, Britski & Nunes, 2010;;Peixes Continentais;Criticamente em Perigo;Sim;Espírito Santo;Sudeste;Mata Atlântica;Sub-bacia Litoral ES;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus dali;Rizzato, Costa, Trajano & Bichuette, 2011;Bagrinho-cego-da-serra-da-bodoquena;Peixes Continentais;Vulnerável;Sim;Mato Grosso do Sul;Centro-Oeste;Cerrado;Sub-bacia Paraguai 01;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus itacarambiensis;Trajano & de Pinna, 1996;;Peixes Continentais;Criticamente em Perigo;Sim;Minas Gerais;Sudeste;Cerrado;Sub-bacia São Francisco Médio;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus triguttatus;(Eigenmann, 1918);;Peixes Continentais;Criticamente em Perigo;Sim;São Paulo;Sudeste;Mata Atlântica;Sub-bacia Paraíba do Sul;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Cambeva;Cambeva tropeiro;(Ferrer & Malabarba, 2011);Cambeva;Peixes Continentais;Criticamente em Perigo;Sim;Rio Grande do Sul;Sul;Mata Atlântica;"Sub-bacia Guaíba
Sub-bacia Uruguai Alto";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Callichthyidae;Corydoras;Corydoras lacerdai;Hieronimus, 1995;;Peixes Continentais;Em Perigo;Sim;Bahia;Nordeste;Mata Atlântica;"Sub-bacia Contas
Sub-bacia  Jequitinhonha
Sub-bacia Litoral BA ES";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Callichthyidae;Scleromystax;Scleromystax macropterus;(Regan, 1913);Limpa-fundo;Peixes Continentais;Em Perigo;Sim;Paraná, Santa Catarina, São Paulo;Sudeste, Sul;Marinho, Mata Atlântica;"Sub-bacia Litoral RJ SP
Sub-bacia Litoral SP
Sub-bacia Litoral SP PR SC";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Ancistrus;Ancistrus formoso;Sabino & Trajano, 1997;Cascudo-cego;Peixes Continentais;Vulnerável;Sim;Mato Grosso do Sul;Centro-Oeste;Cerrado;Sub-bacia Paraguai 01;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Loricaria;Loricaria coximensis;Rodriguez, Cavallaro & Thomas, 2012;;Peixes Continentais;Criticamente em Perigo;Sim;Goiás, Mato Grosso, Mato Grosso do Sul;Centro-Oeste;Cerrado;"Sub-bacia Araguaia
Sub-bacia Paraguai 01
Sub-bacia Paraguai 02
Sub-bacia Paraguai 03";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Neoplecostomus;Neoplecostomus botucatu;Roxo, Oliveira & Zawadzki, 2012;Cascudo;Peixes Continentais;Vulnerável;Sim;São Paulo;Sudeste;Cerrado;Sub-bacia Paranapanema;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Otothyris;Otothyris juquiae;Garavello, Britski & Schaefer, 1998;Cascudinho-anão;Peixes Continentais;Criticamente em Perigo;Sim;São Paulo;Sudeste;Mata Atlântica;Sub-bacia Litoral RJ SP;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Pareiorhaphis;Pareiorhaphis nasuta;Pereira, Vieira & Reis, 2007;;Peixes Continentais;Criticamente em Perigo;Sim;Minas Gerais;Sudeste;Cerrado, Mata Atlântica;Sub-bacia Doce;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Pareiorhaphis;Pareiorhaphis scutula;Pereira, Vieira & Reis, 2010;;Peixes Continentais;Em Perigo;Sim;Minas Gerais;Sudeste;Mata Atlântica;Sub-bacia Doce;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Pogonopoma;Pogonopoma obscurum;Quevedo & Reis, 2002;Cascudo-preto;Peixes Continentais;Em Perigo;Sim;Rio Grande do Sul, Santa Catarina;Sul;Mata Atlântica, Pampa;"Sub-bacia Uruguai Alto
Sub-bacia Uruguai Médio";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Pogonopoma;Pogonopoma parahybae;(Steindachner, 1877);Cascudo;Peixes Continentais;Em Perigo;Sim;Minas Gerais, São Paulo;Sudeste;Mata Atlântica;Sub-bacia Paraíba do Sul;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Pseudotocinclus;Pseudotocinclus juquiae;Takako, Oliveira & Oyakawa, 2005;Cascudinho-do-Juquiá;Peixes Continentais;Criticamente em Perigo;Sim;São Paulo;Sudeste;Mata Atlântica;Sub-bacia Litoral RJ SP;;;
Animalia;Chordata;Actinopterygii;Gymnotiformes;Sternopygidae;Eigenmannia;Eigenmannia vicentespelaea;Triques, 1996;Ituí;Peixes Continentais;Vulnerável;Sim;Goiás;Centro-Oeste;Cerrado, Desconhecido;Sub-bacia Tocantins Alto;;;
Animalia;Chordata;Actinopterygii;Gymnotiformes;Apteronotidae;Sternarchella;Sternarchella curvioperculata;Godoy, 1968;Ituí;Peixes Continentais;Em Perigo;Sim;Mato Grosso do Sul, São Paulo;Centro-Oeste, Sudeste;Cerrado, Desconhecido, Mata Atlântica, Pantanal;"Sub-bacia Paraguai 02
Sub-bacia Paraná RH1
Sub-bacia Tietê";;;
Animalia;Chordata;Actinopterygii;Gymnotiformes;Apteronotidae;Sternarchorhynchus;Sternarchorhynchus britskii;Campos-da-Paz, 2000;Ituí;Peixes Continentais;Em Perigo;Sim;Mato Grosso do Sul;Centro-Oeste;Desconhecido, Mata Atlântica;Sub-bacia Paraná RH1;;;
Animalia;Chordata;Actinopterygii;Gymnotiformes;Apteronotidae;Tembeassu;Tembeassu marauna;Triques, 1998;Ituí-maraúna;Peixes Continentais;Criticamente em Perigo;Sim;Mato Grosso do Sul, São Paulo;Centro-Oeste, Sudeste;Desconhecido, Mata Atlântica;Sub-bacia Paraná RH1;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides cearensis;(Costa & Vono, 2009);Killifish, Peixe-anual;Peixes Continentais;Criticamente em Perigo;Sim;Ceará;Nordeste;Caatinga;Sub-bacia Litoral CE PI;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Atlantirivulus;Atlantirivulus nudiventris;(Costa & Brasil, 1991);Peixe-anual;Peixes Continentais;Criticamente em Perigo;Sim;Espírito Santo;Sudeste;Mata Atlântica;Sub-bacia Litoral ES;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Austrolebias;Austrolebias univentripinnis;Costa & Cheffe, 2005;Peixe-anual;Peixes Continentais;Criticamente em Perigo;Sim;Rio Grande do Sul;Sul;Pampa;Sub-bacia Litoral RS;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Cynopoecilus;Cynopoecilus intimus;Costa, 2002;Peixe-anual;Peixes Continentais;Vulnerável;Sim;Rio Grande do Sul;Sul;Pampa;Sub-bacia Guaíba;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Maratecoara;Maratecoara formosa;Costa & Brasil, 1995;Peixe anual, Peixe-da-chuva;Peixes Continentais;Vulnerável;Sim;Tocantins;Norte;Cerrado;Sub-bacia Tocantins Alto;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Melanorivulus;Melanorivulus illuminatus;(Costa, 2007);Peixe-anual;Peixes Continentais;Vulnerável;Sim;Goiás;Centro-Oeste;Cerrado;Sub-bacia Paranaíba;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Melanorivulus;Melanorivulus scalaris;(Costa, 2005);Peixe-anual;Peixes Continentais;Em Perigo;Sim;Goiás, Mato Grosso do Sul;Centro-Oeste;Cerrado;"Sub-bacia Paranaíba
Sub-bacia Paraná RH1";;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Nematolebias;Nematolebias whitei;(Myers, 1942);Peixe-anual;Peixes Continentais;Criticamente em Perigo;Sim;Rio de Janeiro;Sudeste;Mata Atlântica;Sub-bacia Litoral RJ;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Plesiolebias;Plesiolebias xavantei;(Costa, Lacerda & Tanizaki, 1988);killifish, Peixe-anual;Peixes Continentais;Em Perigo;Sim;Tocantins;Norte;Cerrado;Sub-bacia Tocantins Alto;;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Poeciliidae;Cnesterodon;Cnesterodon iguape;Lucinda, 2005;Guarú-de-apiaí;Peixes Continentais;Criticamente em Perigo;Sim;Paraná, Rio Grande do Sul, São Paulo;Sudeste, Sul;Mata Atlântica, Pampa;"Sub-bacia Litoral RJ SP
Sub-bacia Litoral RS
Sub-bacia Paranapanema";;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Poeciliidae;Phalloptychus;Phalloptychus eigenmanni;Henn, 1916;Barrigudinho;Peixes Continentais;Criticamente em Perigo;Sim;Bahia;Nordeste;Mata Atlântica;Sub-bacia Itapecuru-Paraguaçu;;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Crenicichla;Crenicichla empheres;Lucena, 2007;Joana;Peixes Continentais;Vulnerável;Sim;Rio Grande do Sul, Santa Catarina;Sul;Mata Atlântica;Sub-bacia Uruguai Alto;;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Crenicichla;Crenicichla hadrostigma;Lucena, 2007;Joana;Peixes Continentais;Vulnerável;Sim;Rio Grande do Sul, Santa Catarina;Sul;Mata Atlântica;"Sub-bacia Uruguai Alto
Sub-bacia Uruguai Médio";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Pimelodidae;Aguarunichthys;Aguarunichthys tocantinsensis;Zuanon, Rapp Py-Daniel & Jégu, 1993;;Peixes Continentais;Em Perigo;Sim;Goiás, Mato Grosso, Pará, Tocantins;Centro-Oeste, Norte;Amazônia, Cerrado;"Bacia do rio Tocantins
Sub-bacia Araguaia
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo";;;
Animalia;Chordata;Actinopterygii;Perciformes;Lutjanidae;Lutjanus;Lutjanus cyanopterus;(Cuvier, 1828);Caranha, Vermelho-caranho, Caranha-do-fundo, Caranho;Peixes Marinhos;Vulnerável;Sim;;;Marinho;;ESEC Carijós;;
Animalia;Chordata;Actinopterygii;Perciformes;Lutjanidae;Lutjanus;Lutjanus purpureus;(Poey, 1876);Pargo, Pargo-cachucho, Pargo, pargo-cachucho, pargo-verdadeiro, Pargo-verdadeiro;Peixes Marinhos;Vulnerável;Sim;;;Marinho;;;;
Animalia;Chordata;Actinopterygii;Perciformes;Epinephelidae;Epinephelus;Epinephelus marginatus;Lowe, 1834;garoupa verdadeira, Garoupa verdadeira, Escorrega, Garopeta;Peixes Marinhos;Vulnerável;Sim;;;Marinho;;;;
Animalia;Chordata;Actinopterygii;Perciformes;Epinephelidae;Epinephelus;Epinephelus morio;(Valenciennes, 1828);;Peixes Marinhos;Vulnerável;Sim;;;Marinho;;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Ancistrus;Ancistrus minutus;Fisch-Muller, Mazzoni & Weber, 2001;;Peixes Continentais;Em Perigo;Sim;Goiás;Centro-Oeste;Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Tocantins Alto";;;
Animalia;Chordata;Actinopterygii;Perciformes;Epinephelidae;Epinephelus;Epinephelus itajara;(Lichtenstein, 1822).;bodete, mero, Mero, Merote, Bodete, Badejão, merote;Peixes Marinhos;Criticamente em Perigo;Sim;;;Marinho;;;;
Animalia;Chordata;Actinopterygii;Characiformes;Anostomidae;Leporinus;Leporinus guttatus;Birindelli & Britski, 2009;Aracu;Peixes Continentais;Vulnerável;Sim;Pará;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Xingu";;;
Animalia;Chordata;Actinopterygii;Characiformes;Anostomidae;Leporinus;Leporinus pitingai;Santos & Jégu, 1996;Aracu;Peixes Continentais;Criticamente em Perigo;Sim;Amazonas;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Trombetas";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Harttia;Harttia depressa;Rapp Py-Daniel & Oliveira, 2001;Acari cachimbo;Peixes Continentais;Em Perigo;Sim;Amazonas;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Trombetas";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis mambai;Bichuette & Trajano, 2008;;Peixes Continentais;Em Perigo;Sim;Goiás;Centro-Oeste;Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Tocantins Alto";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Baryancistrus;Baryancistrus longipinnis;(Kindle, 1895);Acari, cari, cascudo;Peixes Continentais;Criticamente em Perigo;Sim;Pará, Tocantins;Norte;Amazônia, Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Araguaia
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo";;;
Animalia;Chordata;Actinopterygii;Characiformes;Crenuchidae;Melanocharacidium;Melanocharacidium nigrum;Buckup, 1993;;Peixes Continentais;Em Perigo;Sim;Amazonas, Roraima;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Negro
Sub-bacia Solimões
Sub-bacia Trombetas";;;
Animalia;Chordata;Actinopterygii;Characiformes;Cynodontidae;Roestes;Roestes itupiranga;Menezes & Lucena, 1998;;Peixes Continentais;Vulnerável;Sim;Pará;Norte;Amazônia;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Tocantins Baixo";;;
Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Rivulidae;Hypsolebias;Hypsolebias flammeus;(Costa, 1989);peixe anual, Peixe anual, peixe das nuvens, Peixe das nuvens;Peixes Continentais;Em Perigo;Sim;Goiás;Centro-Oeste;Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Tocantins Alto";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Baryancistrus;Baryancistrus niveatus;(Castelnau, 1855);Acari;Peixes Continentais;Criticamente em Perigo;Sim;Goiás, Pará, Tocantins;Centro-Oeste, Norte;Amazônia, Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Araguaia
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Harttia;Harttia dissidens;Rapp Py-Daniel & Oliveira, 2001;Acari cachimbo;Peixes Continentais;Vulnerável;Sim;Mato Grosso, Pará;Centro-Oeste, Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Tapajós";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Leporacanthicus;Leporacanthicus joselimai;Isbrücker & Nijssen, 1989;Acari vampiro;Peixes Continentais;Vulnerável;Sim;Pará;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Tapajós";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Lithoxus;Lithoxus lithoides;Eigenmann, 1912;;Peixes Continentais;Vulnerável;Sim;Amazonas, Pará, Roraima;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Trombetas";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Scobinancistrus;Scobinancistrus aureatus;Burgess, 1994;Acari da pedra, Picota ouro;Peixes Continentais;Vulnerável;Sim;Pará;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Tapajós
Sub-bacia Tocantins Baixo
Sub-bacia Xingu";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;Scobinancistrus;Scobinancistrus pariolispos;Isbrücker & Nijssen, 1989;Acari da pedra;Peixes Continentais;Vulnerável;Sim;Goiás, Mato Grosso, Pará, Tocantins;Centro-Oeste, Norte;Amazônia, Cerrado;"Região Hidrográfica Amazônica
Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Araguaia
Sub-bacia Tapajós
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo
Sub-bacia Xingu";;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Crenicichla;Crenicichla cyclostoma;Ploeg, 1986;;Peixes Continentais;Criticamente em Perigo;Sim;Maranhão, Pará, Tocantins;Nordeste, Norte;Amazônia, Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Araguaia
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo";;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Crenicichla;Crenicichla heckeli;Ploeg, 1989;;Peixes Continentais;Vulnerável;Sim;Pará;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Trombetas";;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Crenicichla;Crenicichla jegui;Ploeg, 1986;;Peixes Continentais;Em Perigo;Sim;Maranhão, Pará, Tocantins;Nordeste, Norte;Amazônia, Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Araguaia
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo";;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Crenicichla;Crenicichla urosema;Kullander, 1990;;Peixes Continentais;Em Perigo;Sim;Pará;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Tapajós";;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Teleocichla;Teleocichla cinderella;Kullander, 1988;;Peixes Continentais;Em Perigo;Sim;Maranhão, Pará;Nordeste, Norte;Amazônia;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Araguaia
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo";;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Teleocichla;Teleocichla prionogenys;Kullander, 1988;;Peixes Continentais;Vulnerável;Sim;Pará;Norte;Amazônia;"Região Hidrográfica Amazônica
Sub-bacia Paru
Sub-bacia Tapajós";;;
Animalia;Chordata;Actinopterygii;Perciformes;Cichlidae;Teleocichla;Teleocichla wajapi;Varella & Moreira, 2013;;Peixes Continentais;Em Perigo;Sim;Amapá, Pará;Norte;Amazônia;Sub-bacia Foz Amazonas;;;
Animalia;Chordata;Actinopterygii;Siluriformes;Heptapteridae;Pimelodella;Pimelodella spelaea;Trajano, Reis & Bichuette, 2004;;Peixes Continentais;Em Perigo;Sim;Goiás;Centro-Oeste;Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Tocantins Alto";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Pimelodidae;Pimelodus;Pimelodus joannis;Ribeiro, Lucena & Lucinda, 2008;;Peixes Continentais;Vulnerável;Sim;Maranhão, Pará, Tocantins;Nordeste, Norte;Amazônia, Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Pimelodidae;Pimelodus;Pimelodus stewartii;Ribeiro, Lucena & Lucinda, 2008;;Peixes Continentais;Vulnerável;Sim;Tocantins;Norte;Cerrado;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Tocantins Alto";;;
Animalia;Chordata;Actinopterygii;Siluriformes;Pseudopimelodidae;Microglanis;Microglanis robustus;Ruiz & Shibatta, 2010;;Peixes Continentais;Criticamente em Perigo;Sim;Pará, Tocantins;Norte;Amazônia;"Região Hidrográfica do Tocantins/Araguaia
Sub-bacia Araguaia
Sub-bacia Tocantins Baixo";;;
